"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","562","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","7","1","2337","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","2","3","543","0.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","0","1479","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","6","10","0","566","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","0.0%","n/a"
"X.ILI.NDR","Nashville-Davidson County","3","5","0","443","0.0%",""
"X.ILI.NER","Northeast Region","3","3","0","230","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","224","0.0%",""
"X.ILI.SER","Southeast Region","5","5","0","759","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","162","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","4","0","528","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","331","0.0%",""
