"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","1","4","0","369","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","3","7","31","639","4.9%",""
"X.ILI.JMR","Jackson-Madison County","1","1","236","691","34.2%","higher"
"X.ILI.KKR","Knoxville-Knox County","1","3","30","1057","2.8%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","15","11","401","2.7%","lower"
"X.ILI.MSR","Shelby County (Memphis)","9","11","83","1186","7.0%",""
"X.ILI.NDR","Nashville-Davidson County","6","10","12","638","1.9%","lower"
"X.ILI.NER","Northeast Region","2","5","0","111","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","1","234","0.4%","lower"
"X.ILI.SER","Southeast Region","3","5","2","171","1.2%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","410","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","7","629","1.1%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","339","0.3%","lower"
