"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","1","481","0.2%",""
"X.ILI.ETR","East Tennessee Region","4","7","0","661","0.0%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","0","690","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","5","11","1","410","0.2%",""
"X.ILI.MSR","Shelby County (Memphis)","2","9","0","130","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","6","590","1.0%","higher"
"X.ILI.NER","Northeast Region","2","3","2","328","0.6%",""
"X.ILI.SCR","South Central Region","3","3","0","276","0.0%",""
"X.ILI.SER","Southeast Region","4","5","3","553","0.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","277","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","1","683","0.1%",""
"X.ILI.WTR","West Tennessee Region","5","6","1","335","0.3%",""
