"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","357","0.0%",""
"X.ILI.ETR","East Tennessee Region","5","7","1","2436","0.0%",""
"X.ILI.JMR","Jackson-Madison County","0","0","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","0","672","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","4","10","0","417","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","0","39","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","0","738","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","349","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","262","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","455","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","136","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","0","669","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","190","0.0%",""
