"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","19","435","4.4%","lower"
"X.ILI.ETR","East Tennessee Region","7","7","337","2692","12.5%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","2","348","0.6%","lower"
"X.ILI.KKR","Knoxville-Knox County","3","4","28","650","4.3%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","10","2","135","1.5%","lower"
"X.ILI.MSR","Shelby County (Memphis)","1","4","0","0","0.0%","n/a"
"X.ILI.NDR","Nashville-Davidson County","4","5","30","271","11.1%","higher"
"X.ILI.NER","Northeast Region","3","3","1","194","0.5%","lower"
"X.ILI.SCR","South Central Region","2","3","0","38","0.0%",""
"X.ILI.SER","Southeast Region","5","5","0","432","0.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","173","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","281","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","5","223","2.2%","lower"
