"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","1","639","0.2%",""
"X.ILI.ETR","East Tennessee Region","6","7","2","2329","0.1%","lower"
"X.ILI.JMR","Jackson-Madison County","0","0","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","3","933","0.3%",""
"X.ILI.MCR","Mid-Cumberland Region","8","9","2","1206","0.2%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","0","45","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","6","6","27","1998","1.4%","higher"
"X.ILI.NER","Northeast Region","2","2","0","263","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","274","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","781","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","204","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","5","0","480","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","360","0.0%",""
