"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","2","663","0.3%",""
"X.ILI.ETR","East Tennessee Region","7","7","19","3337","0.6%","higher"
"X.ILI.JMR","Jackson-Madison County","0","0","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","1","1425","0.1%",""
"X.ILI.MCR","Mid-Cumberland Region","7","9","3","1058","0.3%",""
"X.ILI.MSR","Shelby County (Memphis)","2","5","0","784","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","11","841","1.3%","higher"
"X.ILI.NER","Northeast Region","2","2","1","252","0.4%",""
"X.ILI.SCR","South Central Region","3","3","1","261","0.4%",""
"X.ILI.SER","Southeast Region","4","4","0","776","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","167","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","0","1159","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","311","0.3%",""
