"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","601","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","3","7","35","1309","2.7%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","1","3","3","808","0.4%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","11","2","861","0.2%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","12","50","887","5.6%","higher"
"X.ILI.NDR","Nashville-Davidson County","1","7","0","25","0.0%",""
"X.ILI.NER","Northeast Region","4","4","0","302","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","0","168","0.0%",""
"X.ILI.SER","Southeast Region","3","5","2","399","0.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","370","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","582","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","0","251","0.0%",""
