"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","7","573","1.2%","lower"
"X.ILI.ETR","East Tennessee Region","6","7","158","2373","6.7%","higher"
"X.ILI.JMR","Jackson-Madison County","1","2","33","484","6.8%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","4","35","1446","2.4%","lower"
"X.ILI.MCR","Mid-Cumberland Region","7","10","20","753","2.7%",""
"X.ILI.MSR","Shelby County (Memphis)","3","4","1","338","0.3%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","5","83","1049","7.9%","higher"
"X.ILI.NER","Northeast Region","3","3","3","238","1.3%","lower"
"X.ILI.SCR","South Central Region","3","3","0","193","0.0%","lower"
"X.ILI.SER","Southeast Region","5","5","19","750","2.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","300","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","6","486","1.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","279","0.0%","lower"
