"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","598","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","7","8","44","2538","1.7%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","4","1250","0.3%",""
"X.ILI.MCR","Mid-Cumberland Region","8","9","2","440","0.5%",""
"X.ILI.MSR","Shelby County (Memphis)","2","4","0","567","0.0%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","6","5","934","0.5%",""
"X.ILI.NER","Northeast Region","3","3","0","466","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","225","0.0%",""
"X.ILI.SER","Southeast Region","3","4","2","485","0.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","121","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","5","0","286","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","324","0.0%",""
