"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","701","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","34","1934","1.8%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","5","522","1.0%",""
"X.ILI.MCR","Mid-Cumberland Region","7","11","6","867","0.7%",""
"X.ILI.MSR","Shelby County (Memphis)","8","12","42","1189","3.5%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","6","2","523","0.4%",""
"X.ILI.NER","Northeast Region","4","4","2","356","0.6%",""
"X.ILI.SCR","South Central Region","3","3","2","316","0.6%",""
"X.ILI.SER","Southeast Region","3","4","0","205","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","657","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","4","6","1","234","0.4%",""
