"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","457","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","1","1950","0.1%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","6","506","1.2%",""
"X.ILI.KKR","Knoxville-Knox County","2","3","8","403","2.0%","higher"
"X.ILI.MCR","Mid-Cumberland Region","7","11","0","632","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","12","35","688","5.1%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","6","0","312","0.0%",""
"X.ILI.NER","Northeast Region","2","4","1","162","0.6%",""
"X.ILI.SCR","South Central Region","2","3","0","140","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","175","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","517","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","286","0.0%",""
