"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","364","0.0%",""
"X.ILI.ETR","East Tennessee Region","3","7","0","436","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","2","736","0.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","4","0","401","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","5","11","1","465","0.2%",""
"X.ILI.MSR","Shelby County (Memphis)","2","6","0","693","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","0","808","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","376","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","294","0.0%",""
"X.ILI.SER","Southeast Region","2","4","0","31","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","226","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","5","0","444","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","543","0.0%",""
