"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","719","0.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","0","2301","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","0","438","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","1","763","0.1%",""
"X.ILI.MCR","Mid-Cumberland Region","9","10","2","613","0.3%","higher"
"X.ILI.MSR","Shelby County (Memphis)","0","10","0","0","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","2","6","0","105","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","191","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","218","0.0%",""
"X.ILI.SER","Southeast Region","4","5","0","366","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","346","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","336","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","344","0.0%",""
