"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","531","0.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","32","2247","1.4%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","16","1107","1.5%","higher"
"X.ILI.MCR","Mid-Cumberland Region","5","15","0","882","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","11","0","883","0.0%","lower"
"X.ILI.NDR","Nashville-Davidson County","5","10","0","1090","0.0%","lower"
"X.ILI.NER","Northeast Region","4","5","0","294","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","255","0.0%",""
"X.ILI.SER","Southeast Region","2","5","0","329","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","238","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","572","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","278","0.0%",""
