"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","5","5","6","695","0.9%",""
"X.ILI.ETR","East Tennessee Region","6","7","8","2767","0.3%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","12","1137","1.1%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","14","933","1.5%","higher"
"X.ILI.MCR","Mid-Cumberland Region","5","11","10","968","1.0%",""
"X.ILI.MSR","Shelby County (Memphis)","4","9","3","851","0.4%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","35","1479","2.4%","higher"
"X.ILI.NER","Northeast Region","2","3","0","350","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","276","0.0%",""
"X.ILI.SER","Southeast Region","3","5","2","404","0.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","249","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","7","763","0.9%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","491","0.0%","lower"
