"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","2","786","0.3%","lower"
"X.ILI.ETR","East Tennessee Region","5","9","54","2172","2.5%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","22","1049","2.1%","higher"
"X.ILI.MCR","Mid-Cumberland Region","3","15","1","164","0.6%",""
"X.ILI.MSR","Shelby County (Memphis)","1","4","0","95","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","10","9","885","1.0%",""
"X.ILI.NER","Northeast Region","4","5","0","245","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","182","0.0%",""
"X.ILI.SER","Southeast Region","2","4","1","332","0.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","3","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","574","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","343","0.0%","lower"
