"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","505","0.0%",""
"X.ILI.ETR","East Tennessee Region","3","7","3","568","0.5%",""
"X.ILI.JMR","Jackson-Madison County","0","2","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","1","4","0","319","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","10","11","2","894","0.2%",""
"X.ILI.MSR","Shelby County (Memphis)","9","12","7","806","0.9%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","5","0","340","0.0%",""
"X.ILI.NER","Northeast Region","1","3","0","67","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","228","0.0%",""
"X.ILI.SER","Southeast Region","3","5","0","59","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","358","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","524","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","239","0.0%",""
