"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","816","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","6","7","105","2460","4.3%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","88","601","14.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","3","17","1719","1.0%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","11","1","511","0.2%","lower"
"X.ILI.MSR","Shelby County (Memphis)","8","12","4","998","0.4%","lower"
"X.ILI.NDR","Nashville-Davidson County","3","6","1","285","0.4%","lower"
"X.ILI.NER","Northeast Region","3","5","3","290","1.0%",""
"X.ILI.SCR","South Central Region","3","3","0","265","0.0%","lower"
"X.ILI.SER","Southeast Region","3","4","1","565","0.2%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","504","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","296","0.3%","lower"
