"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","1","571","0.2%",""
"X.ILI.ETR","East Tennessee Region","5","7","7","1935","0.4%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","12","1187","1.0%","higher"
"X.ILI.MCR","Mid-Cumberland Region","7","15","1","1096","0.1%",""
"X.ILI.MSR","Shelby County (Memphis)","1","11","0","168","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","10","5","1226","0.4%",""
"X.ILI.NER","Northeast Region","4","5","1","218","0.5%",""
"X.ILI.SCR","South Central Region","3","3","0","206","0.0%",""
"X.ILI.SER","Southeast Region","2","5","0","437","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","247","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","2","639","0.3%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","343","0.0%",""
