"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","298","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","33","2079","1.6%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","2","411","0.5%",""
"X.ILI.MCR","Mid-Cumberland Region","5","15","0","344","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","9","11","61","999","6.1%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","10","0","275","0.0%","lower"
"X.ILI.NER","Northeast Region","2","5","0","210","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","179","0.0%",""
"X.ILI.SER","Southeast Region","2","5","0","38","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","284","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","491","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","328","0.0%","lower"
