"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","442","0.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","1","2262","0.0%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","3","405","0.7%","higher"
"X.ILI.MCR","Mid-Cumberland Region","6","15","1","412","0.2%",""
"X.ILI.MSR","Shelby County (Memphis)","1","11","0","107","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","2","10","0","212","0.0%",""
"X.ILI.NER","Northeast Region","3","5","2","339","0.6%","higher"
"X.ILI.SCR","South Central Region","3","3","0","240","0.0%",""
"X.ILI.SER","Southeast Region","1","5","0","8","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","310","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","1","654","0.2%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","352","0.0%",""
