"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)",2,4,2,331,"0.6%","lower"
"X.ILI.ETR","East Tennessee Region",7,9,331,2347,"14.1%","higher"
"X.ILI.JMR","Jackson-Madison County",1,1,15,447,"3.4%","lower"
"X.ILI.KKR","Knoxville-Knox County",3,3,107,1421,"7.5%",""
"X.ILI.MCR","Mid-Cumberland Region",9,15,4,648,"0.6%","lower"
"X.ILI.MSR","Shelby County (Memphis)",1,4,2,127,"1.6%","lower"
"X.ILI.NDR","Nashville-Davidson County",3,10,26,316,"8.2%",""
"X.ILI.NER","Northeast Region",4,5,5,274,"1.8%","lower"
"X.ILI.SCR","South Central Region",3,3,0,86,"0.0%","lower"
"X.ILI.SER","Southeast Region",2,4,23,326,"7.1%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)",2,3,26,243,"10.7%",""
"X.ILI.UCR","Upper Cumberland Region",4,4,1,235,"0.4%","lower"
"X.ILI.WTR","West Tennessee Region",6,6,0,141,"0.0%","lower"
