"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","3","314","1.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","6","1379","0.4%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","34","1122","3.0%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","4","4","799","0.5%","lower"
"X.ILI.MCR","Mid-Cumberland Region","8","12","12","205","5.9%","higher"
"X.ILI.MSR","Shelby County (Memphis)","3","9","9","203","4.4%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","6","37","645","5.7%","higher"
"X.ILI.NER","Northeast Region","2","3","1","191","0.5%",""
"X.ILI.SCR","South Central Region","3","3","0","196","0.0%",""
"X.ILI.SER","Southeast Region","4","5","5","368","1.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","329","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","3","5","1","254","0.4%",""
"X.ILI.WTR","West Tennessee Region","5","6","1","292","0.3%",""
