"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","411","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","27","1326","2.0%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","0","3","0","0","0.0%","n/a"
"X.ILI.MCR","Mid-Cumberland Region","4","11","1","142","0.7%",""
"X.ILI.MSR","Shelby County (Memphis)","8","12","29","1089","2.7%","higher"
"X.ILI.NDR","Nashville-Davidson County","1","6","0","0","0.0%","n/a"
"X.ILI.NER","Northeast Region","2","4","1","89","1.1%",""
"X.ILI.SCR","South Central Region","3","3","0","149","0.0%",""
"X.ILI.SER","Southeast Region","3","5","0","109","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","1","262","0.4%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","169","0.0%",""
