"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","645","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","7","0","3062","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","5","500","1.0%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","0","1762","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","9","10","2","812","0.3%",""
"X.ILI.MSR","Shelby County (Memphis)","1","10","0","146","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","0","419","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","196","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","207","0.0%",""
"X.ILI.SER","Southeast Region","5","5","0","621","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","378","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","3","619","0.5%","higher"
"X.ILI.WTR","West Tennessee Region","5","6","0","311","0.0%",""
