"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","2","805","0.3%",""
"X.ILI.ETR","East Tennessee Region","6","7","2","2139","0.1%",""
"X.ILI.JMR","Jackson-Madison County","0","2","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","4","4","2","2140","0.1%",""
"X.ILI.MCR","Mid-Cumberland Region","8","10","1","1016","0.1%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","2","139","1.4%","higher"
"X.ILI.NDR","Nashville-Davidson County","4","5","1","1273","0.1%",""
"X.ILI.NER","Northeast Region","3","3","1","239","0.4%",""
"X.ILI.SCR","South Central Region","3","3","0","180","0.0%",""
"X.ILI.SER","Southeast Region","5","5","2","769","0.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","407","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","4","0","548","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","301","0.0%",""
