"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","1","826","0.1%",""
"X.ILI.ETR","East Tennessee Region","7","8","5","1912","0.3%",""
"X.ILI.JMR","Jackson-Madison County","0","2","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","4","4","4","1725","0.2%",""
"X.ILI.MCR","Mid-Cumberland Region","9","10","8","951","0.8%","higher"
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","0.0%","n/a"
"X.ILI.NDR","Nashville-Davidson County","3","5","5","345","1.5%","higher"
"X.ILI.NER","Northeast Region","2","3","2","156","1.3%","higher"
"X.ILI.SCR","South Central Region","3","3","0","219","0.0%",""
"X.ILI.SER","Southeast Region","5","5","1","728","0.1%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","417","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","565","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","306","0.0%",""
