"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","2","457","0.4%",""
"X.ILI.ETR","East Tennessee Region","7","7","4","3389","0.1%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","20","841","2.4%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","4","8","861","0.9%","higher"
"X.ILI.MCR","Mid-Cumberland Region","8","10","0","1156","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","2","5","0","677","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","11","1148","1.0%","higher"
"X.ILI.NER","Northeast Region","2","3","1","365","0.3%",""
"X.ILI.SCR","South Central Region","3","3","1","297","0.3%",""
"X.ILI.SER","Southeast Region","4","4","2","735","0.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","80","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","0","634","0.0%",""
"X.ILI.WTR","West Tennessee Region","4","6","0","251","0.0%",""
