"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","453","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","22","2025","1.1%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","1","3","5","506","1.0%",""
"X.ILI.MCR","Mid-Cumberland Region","11","11","14","1284","1.1%",""
"X.ILI.MSR","Shelby County (Memphis)","8","12","14","1087","1.3%",""
"X.ILI.NDR","Nashville-Davidson County","2","5","0","367","0.0%",""
"X.ILI.NER","Northeast Region","2","3","1","173","0.6%",""
"X.ILI.SCR","South Central Region","3","3","1","243","0.4%",""
"X.ILI.SER","Southeast Region","3","5","3","375","0.8%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","513","0.2%",""
"X.ILI.WTR","West Tennessee Region","5","6","2","275","0.7%",""
