"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","566","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","7","12","2755","0.4%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","5","1543","0.3%",""
"X.ILI.MCR","Mid-Cumberland Region","8","10","1","864","0.1%",""
"X.ILI.MSR","Shelby County (Memphis)","2","10","0","749","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","3","477","0.6%",""
"X.ILI.NER","Northeast Region","2","3","0","221","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","229","0.0%",""
"X.ILI.SER","Southeast Region","2","5","0","157","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","4","0","318","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","286","0.0%",""
