"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","1","528","0.2%",""
"X.ILI.ETR","East Tennessee Region","8","8","39","3424","1.1%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","8","415","1.9%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","3","1243","0.2%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","9","1","905","0.1%","lower"
"X.ILI.MSR","Shelby County (Memphis)","0","4","0","0","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","22","1388","1.6%","higher"
"X.ILI.NER","Northeast Region","2","2","0","323","0.0%",""
"X.ILI.SCR","South Central Region","2","3","0","205","0.0%",""
"X.ILI.SER","Southeast Region","4","4","1","599","0.2%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","2","543","0.4%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","3","682","0.4%",""
"X.ILI.WTR","West Tennessee Region","5","6","1","292","0.3%",""
