"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","4","162","2.5%",""
"X.ILI.ETR","East Tennessee Region","5","9","59","1673","3.5%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","9","595","1.5%",""
"X.ILI.KKR","Knoxville-Knox County","1","3","11","80","13.8%","higher"
"X.ILI.MCR","Mid-Cumberland Region","9","14","6","934","0.6%","lower"
"X.ILI.MSR","Shelby County (Memphis)","1","4","1","140","0.7%",""
"X.ILI.NDR","Nashville-Davidson County","8","11","50","1707","2.9%","higher"
"X.ILI.NER","Northeast Region","4","5","8","344","2.3%",""
"X.ILI.SCR","South Central Region","3","3","0","241","0.0%","lower"
"X.ILI.SER","Southeast Region","3","4","11","394","2.8%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","369","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","335","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","1","312","0.3%","lower"
