"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","3","756","0.4%","lower"
"X.ILI.ETR","East Tennessee Region","8","8","96","2475","3.9%","higher"
"X.ILI.JMR","Jackson-Madison County","1","2","1","58","1.7%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","30","1953","1.5%",""
"X.ILI.MCR","Mid-Cumberland Region","6","10","2","680","0.3%","lower"
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","0.0%","n/a"
"X.ILI.NDR","Nashville-Davidson County","3","6","4","180","2.2%",""
"X.ILI.NER","Northeast Region","3","3","0","240","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","0","219","0.0%",""
"X.ILI.SER","Southeast Region","5","5","4","872","0.5%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","385","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","397","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","244","0.0%","lower"
