"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","656","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","6","1631","0.4%",""
"X.ILI.JMR","Jackson-Madison County","1","2","3","595","0.5%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","7","1382","0.5%",""
"X.ILI.MCR","Mid-Cumberland Region","6","11","0","713","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","2","12","1","193","0.5%",""
"X.ILI.NDR","Nashville-Davidson County","1","5","0","32","0.0%",""
"X.ILI.NER","Northeast Region","3","3","0","240","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","271","0.0%",""
"X.ILI.SER","Southeast Region","2","5","0","139","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","608","0.2%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","275","0.0%",""
