"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","5","5","1","702","0.1%",""
"X.ILI.ETR","East Tennessee Region","3","7","0","317","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","5","918","0.5%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","0","666","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","6","11","3","837","0.4%",""
"X.ILI.MSR","Shelby County (Memphis)","3","9","0","339","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","6","6","18","1752","1.0%","higher"
"X.ILI.NER","Northeast Region","1","3","0","244","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","260","0.0%",""
"X.ILI.SER","Southeast Region","3","5","2","665","0.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","0","954","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","1","620","0.2%",""
