"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","432","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","53","1579","3.4%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","28","564","5.0%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","3","6","1066","0.6%","lower"
"X.ILI.MCR","Mid-Cumberland Region","8","11","4","570","0.7%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","12","50","731","6.8%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","6","2","368","0.5%","lower"
"X.ILI.NER","Northeast Region","1","4","0","94","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","210","0.0%","lower"
"X.ILI.SER","Southeast Region","2","4","0","39","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","509","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","0","261","0.0%","lower"
