"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","17","812","2.1%",""
"X.ILI.ETR","East Tennessee Region","5","7","72","2413","3.0%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","13","1595","0.8%","lower"
"X.ILI.MCR","Mid-Cumberland Region","10","10","16","1165","1.4%",""
"X.ILI.MSR","Shelby County (Memphis)","2","10","1","832","0.1%","lower"
"X.ILI.NDR","Nashville-Davidson County","2","6","10","496","2.0%",""
"X.ILI.NER","Northeast Region","1","3","0","129","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","235","0.0%",""
"X.ILI.SER","Southeast Region","5","5","12","781","1.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","340","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","3","4","2","406","0.5%",""
"X.ILI.WTR","West Tennessee Region","3","6","0","185","0.0%",""
