"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","369","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","2","1558","0.1%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","28","528","5.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","2","365","0.6%",""
"X.ILI.MCR","Mid-Cumberland Region","4","11","1","195","0.5%",""
"X.ILI.MSR","Shelby County (Memphis)","7","12","48","685","7.0%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","6","1","319","0.3%",""
"X.ILI.NER","Northeast Region","2","4","0","168","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","192","0.0%",""
"X.ILI.SER","Southeast Region","0","4","0","0","0.0%","n/a"
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","434","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","315","0.3%",""
