"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","5","661","0.8%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","83","1313","6.3%",""
"X.ILI.JMR","Jackson-Madison County","1","1","172","700","24.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","23","871","2.6%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","15","5","558","0.9%","lower"
"X.ILI.MSR","Shelby County (Memphis)","10","11","83","1433","5.8%",""
"X.ILI.NDR","Nashville-Davidson County","3","9","5","206","2.4%",""
"X.ILI.NER","Northeast Region","2","4","2","114","1.8%",""
"X.ILI.SCR","South Central Region","3","3","3","200","1.5%","lower"
"X.ILI.SER","Southeast Region","3","5","5","305","1.6%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","521","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","401","0.0%","lower"
