"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","282","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","22","1421","1.6%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","4","287","1.4%",""
"X.ILI.MCR","Mid-Cumberland Region","6","11","0","226","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","9","12","23","1031","2.2%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","6","0","28","0.0%",""
"X.ILI.NER","Northeast Region","3","4","1","131","0.8%",""
"X.ILI.SCR","South Central Region","3","3","1","141","0.7%",""
"X.ILI.SER","Southeast Region","4","4","1","126","0.8%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","231","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","205","0.0%",""
