"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","1","62","1.6%",""
"X.ILI.ETR","East Tennessee Region","6","8","102","2165","4.7%","higher"
"X.ILI.JMR","Jackson-Madison County","0","2","0","0","","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","4","2","719","0.3%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","10","17","445","3.8%",""
"X.ILI.MSR","Shelby County (Memphis)","2","5","1","566","0.2%","lower"
"X.ILI.NDR","Nashville-Davidson County","3","6","26","366","7.1%","higher"
"X.ILI.NER","Northeast Region","2","3","5","164","3.1%",""
"X.ILI.SCR","South Central Region","0","3","0","0","","n/a"
"X.ILI.SER","Southeast Region","5","5","7","531","1.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","339","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","3","4","1","488","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","348","0.3%","lower"
