"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","10","560","1.8%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","84","2246","3.7%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","200","683","29.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","3","69","1742","4.0%","lower"
"X.ILI.MCR","Mid-Cumberland Region","5","15","30","887","3.4%","lower"
"X.ILI.MSR","Shelby County (Memphis)","8","11","151","1225","12.3%","higher"
"X.ILI.NDR","Nashville-Davidson County","4","10","12","813","1.5%","lower"
"X.ILI.NER","Northeast Region","3","5","1","188","0.5%","lower"
"X.ILI.SCR","South Central Region","3","3","2","244","0.8%","lower"
"X.ILI.SER","Southeast Region","3","5","4","442","0.9%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","351","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","564","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","2","327","0.6%","lower"
