"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","7","524","1.3%","lower"
"X.ILI.ETR","East Tennessee Region","6","7","153","2539","6.0%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","52","1177","4.4%",""
"X.ILI.MCR","Mid-Cumberland Region","7","15","26","1007","2.6%","lower"
"X.ILI.MSR","Shelby County (Memphis)","8","11","152","1222","12.4%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","10","16","608","2.6%","lower"
"X.ILI.NER","Northeast Region","3","5","4","217","1.8%","lower"
"X.ILI.SCR","South Central Region","3","3","3","199","1.5%","lower"
"X.ILI.SER","Southeast Region","2","5","4","410","1.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","547","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","3","331","0.9%","lower"
