"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","4","702","0.6%","lower"
"X.ILI.ETR","East Tennessee Region","7","8","49","1951","2.5%","higher"
"X.ILI.JMR","Jackson-Madison County","1","2","6","486","1.2%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","40","1959","2.0%",""
"X.ILI.MCR","Mid-Cumberland Region","7","10","10","900","1.1%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","0","45","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","9","368","2.5%",""
"X.ILI.NER","Northeast Region","3","3","2","261","0.8%",""
"X.ILI.SCR","South Central Region","3","3","2","218","0.9%",""
"X.ILI.SER","Southeast Region","5","5","14","895","1.6%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","289","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","2","416","0.5%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","324","0.0%","lower"
