"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","2","565","0.4%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","11","1028","1.1%",""
"X.ILI.JMR","Jackson-Madison County","1","1","29","1193","2.4%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","19","1067","1.8%",""
"X.ILI.MCR","Mid-Cumberland Region","8","11","6","685","0.9%",""
"X.ILI.MSR","Shelby County (Memphis)","2","9","2","172","1.2%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","41","834","4.9%","higher"
"X.ILI.NER","Northeast Region","2","3","2","323","0.6%",""
"X.ILI.SCR","South Central Region","3","3","0","329","0.0%","lower"
"X.ILI.SER","Southeast Region","5","5","5","1059","0.5%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","2","585","0.3%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","5","3","706","0.4%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","3","603","0.5%",""
