"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","5","691","0.7%","lower"
"X.ILI.ETR","East Tennessee Region","6","7","153","2581","5.9%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","13","889","1.5%","lower"
"X.ILI.KKR","Knoxville-Knox County","3","4","82","1285","6.4%","higher"
"X.ILI.MCR","Mid-Cumberland Region","8","12","89","1453","6.1%","higher"
"X.ILI.MSR","Shelby County (Memphis)","1","6","5","497","1.0%","lower"
"X.ILI.NDR","Nashville-Davidson County","5","6","128","2129","6.0%","higher"
"X.ILI.NER","Northeast Region","2","3","14","338","4.1%",""
"X.ILI.SCR","South Central Region","3","3","2","312","0.6%","lower"
"X.ILI.SER","Southeast Region","4","5","55","742","7.4%","higher"
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","48","341","14.1%","higher"
"X.ILI.UCR","Upper Cumberland Region","5","5","22","1195","1.8%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","7","598","1.2%","lower"
