"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","2","556","0.4%",""
"X.ILI.ETR","East Tennessee Region","5","7","43","2078","2.1%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","9","619","1.5%",""
"X.ILI.KKR","Knoxville-Knox County","2","3","17","1234","1.4%",""
"X.ILI.MCR","Mid-Cumberland Region","7","15","0","975","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","1","11","0","105","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","2","10","1","501","0.2%",""
"X.ILI.NER","Northeast Region","2","5","3","109","2.8%",""
"X.ILI.SCR","South Central Region","3","3","3","192","1.6%",""
"X.ILI.SER","Southeast Region","2","5","0","394","0.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","304","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","564","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","4","6","1","200","0.5%",""
