"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","2","549","0.4%",""
"X.ILI.ETR","East Tennessee Region","4","7","7","1480","0.5%",""
"X.ILI.JMR","Jackson-Madison County","1","1","12","566","2.1%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","16","1201","1.3%","higher"
"X.ILI.MCR","Mid-Cumberland Region","8","15","2","1007","0.2%",""
"X.ILI.MSR","Shelby County (Memphis)","2","11","0","324","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","5","10","6","1208","0.5%",""
"X.ILI.NER","Northeast Region","1","5","0","51","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","205","0.0%",""
"X.ILI.SER","Southeast Region","3","5","0","377","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","336","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","562","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","301","0.0%",""
