"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","5","696","0.7%",""
"X.ILI.ETR","East Tennessee Region","7","8","60","2484","2.4%","higher"
"X.ILI.JMR","Jackson-Madison County","1","2","18","550","3.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","12","1815","0.7%","lower"
"X.ILI.MCR","Mid-Cumberland Region","9","10","9","580","1.6%",""
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","","n/a"
"X.ILI.NDR","Nashville-Davidson County","2","6","8","150","5.3%","higher"
"X.ILI.NER","Northeast Region","3","3","1","305","0.3%",""
"X.ILI.SCR","South Central Region","3","3","0","164","0.0%",""
"X.ILI.SER","Southeast Region","5","5","8","525","1.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","1","488","0.2%","lower"
"X.ILI.UCR","Upper Cumberland Region","3","4","1","379","0.3%",""
"X.ILI.WTR","West Tennessee Region","5","6","2","262","0.8%",""
