"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","1","479","0.2%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","26","1672","1.6%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","3","3","18","1317","1.4%",""
"X.ILI.MCR","Mid-Cumberland Region","10","15","21","917","2.3%",""
"X.ILI.MSR","Shelby County (Memphis)","8","11","72","1079","6.7%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","10","10","759","1.3%",""
"X.ILI.NER","Northeast Region","3","5","0","173","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","162","0.0%",""
"X.ILI.SER","Southeast Region","2","5","0","261","0.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","319","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","2","519","0.4%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","0","185","0.0%",""
