"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","392","0.0%",""
"X.ILI.ETR","East Tennessee Region","5","7","4","1332","0.3%",""
"X.ILI.JMR","Jackson-Madison County","1","1","5","831","0.6%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","2","796","0.3%",""
"X.ILI.MCR","Mid-Cumberland Region","6","10","8","853","0.9%","higher"
"X.ILI.MSR","Shelby County (Memphis)","1","5","0","93","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","2","6","6","724","0.8%","higher"
"X.ILI.NER","Northeast Region","2","3","0","327","0.0%",""
"X.ILI.SCR","South Central Region","2","3","2","184","1.1%",""
"X.ILI.SER","Southeast Region","4","4","0","852","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","185","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","0","652","0.0%",""
"X.ILI.WTR","West Tennessee Region","4","6","0","258","0.0%",""
