"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","5","5","0","579","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","0","752","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","3","789","0.4%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","1","915","0.1%",""
"X.ILI.MCR","Mid-Cumberland Region","6","11","3","760","0.4%",""
"X.ILI.MSR","Shelby County (Memphis)","5","9","1","801","0.1%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","4","1213","0.3%",""
"X.ILI.NER","Northeast Region","2","3","1","307","0.3%",""
"X.ILI.SCR","South Central Region","3","3","0","290","0.0%",""
"X.ILI.SER","Southeast Region","3","5","1","517","0.2%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","278","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","2","628","0.3%",""
"X.ILI.WTR","West Tennessee Region","6","6","1","658","0.2%",""
