"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","1","427","0.2%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","80","2087","3.8%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","20","357","5.6%","higher"
"X.ILI.MCR","Mid-Cumberland Region","7","15","23","524","4.4%",""
"X.ILI.MSR","Shelby County (Memphis)","9","11","75","1114","6.7%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","10","12","722","1.7%","lower"
"X.ILI.NER","Northeast Region","3","5","4","214","1.9%",""
"X.ILI.SCR","South Central Region","3","3","3","211","1.4%",""
"X.ILI.SER","Southeast Region","4","5","8","448","1.8%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","287","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","605","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","331","0.0%","lower"
