"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","709","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","0","1501","0.0%",""
"X.ILI.JMR","Jackson-Madison County","2","2","0","625","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","0","824","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","4","11","0","377","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","10","12","8","1052","0.8%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","5","0","282","0.0%",""
"X.ILI.NER","Northeast Region","1","3","0","31","0.0%",""
"X.ILI.SCR","South Central Region","2","3","0","193","0.0%",""
"X.ILI.SER","Southeast Region","4","5","0","171","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","555","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","225","0.0%",""
