"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","8","768","1.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","29","1834","1.6%","higher"
"X.ILI.JMR","Jackson-Madison County","2","2","13","557","2.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","4","3","820","0.4%",""
"X.ILI.MCR","Mid-Cumberland Region","5","10","10","909","1.1%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","0","7","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","5","7","619","1.1%",""
"X.ILI.NER","Northeast Region","3","3","2","266","0.8%",""
"X.ILI.SCR","South Central Region","3","3","0","223","0.0%",""
"X.ILI.SER","Southeast Region","3","5","6","716","0.8%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","607","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","543","0.2%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","255","0.0%",""
