"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","20","597","3.4%","lower"
"X.ILI.ETR","East Tennessee Region","7","9","207","2862","7.2%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","18","588","3.1%","lower"
"X.ILI.KKR","Knoxville-Knox County","2","3","54","1476","3.7%","lower"
"X.ILI.MCR","Mid-Cumberland Region","9","15","26","1056","2.5%","lower"
"X.ILI.MSR","Shelby County (Memphis)","3","4","4","346","1.2%","lower"
"X.ILI.NDR","Nashville-Davidson County","6","10","230","1476","15.6%","higher"
"X.ILI.NER","Northeast Region","4","5","8","400","2.0%","lower"
"X.ILI.SCR","South Central Region","3","3","2","224","0.9%","lower"
"X.ILI.SER","Southeast Region","2","4","26","361","7.2%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","3","10","396","2.5%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","7","459","1.5%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","350","0.3%","lower"
