"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","8","473","1.7%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","71","2503","2.8%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","21","973","2.2%","lower"
"X.ILI.KKR","Knoxville-Knox County","1","5","16","566","2.8%",""
"X.ILI.MCR","Mid-Cumberland Region","8","12","67","1106","6.1%","higher"
"X.ILI.MSR","Shelby County (Memphis)","3","6","4","679","0.6%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","6","153","1918","8.0%","higher"
"X.ILI.NER","Northeast Region","2","3","11","226","4.9%",""
"X.ILI.SCR","South Central Region","3","3","2","321","0.6%","lower"
"X.ILI.SER","Southeast Region","4","5","35","887","3.9%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","16","352","4.5%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","23","712","3.2%",""
"X.ILI.WTR","West Tennessee Region","5","6","5","460","1.1%","lower"
