"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","755","0.0%",""
"X.ILI.ETR","East Tennessee Region","6","8","4","2500","0.2%",""
"X.ILI.JMR","Jackson-Madison County","1","2","6","488","1.2%","higher"
"X.ILI.KKR","Knoxville-Knox County","1","4","2","1103","0.2%",""
"X.ILI.MCR","Mid-Cumberland Region","8","10","3","663","0.5%",""
"X.ILI.MSR","Shelby County (Memphis)","2","14","0","792","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","2","6","3","687","0.4%",""
"X.ILI.NER","Northeast Region","2","3","0","173","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","189","0.0%",""
"X.ILI.SER","Southeast Region","5","5","0","745","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","319","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","515","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","1","300","0.3%",""
