"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","6","412","1.5%",""
"X.ILI.ETR","East Tennessee Region","5","7","18","1357","1.3%",""
"X.ILI.JMR","Jackson-Madison County","1","1","12","1023","1.2%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","37","1301","2.8%","higher"
"X.ILI.MCR","Mid-Cumberland Region","9","12","19","856","2.2%",""
"X.ILI.MSR","Shelby County (Memphis)","2","9","1","304","0.3%","lower"
"X.ILI.NDR","Nashville-Davidson County","6","6","63","990","6.4%","higher"
"X.ILI.NER","Northeast Region","1","3","0","210","0.0%","lower"
"X.ILI.SCR","South Central Region","2","3","0","117","0.0%",""
"X.ILI.SER","Southeast Region","5","5","7","649","1.1%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","2","343","0.6%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","6","669","0.9%","lower"
"X.ILI.WTR","West Tennessee Region","4","6","0","187","0.0%",""
