"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","8","788","1.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","68","1756","3.9%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","10","553","1.8%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","14","1664","0.8%","lower"
"X.ILI.MCR","Mid-Cumberland Region","8","10","37","1062","3.5%","higher"
"X.ILI.MSR","Shelby County (Memphis)","1","3","8","45","17.8%","higher"
"X.ILI.NDR","Nashville-Davidson County","4","5","20","1097","1.8%",""
"X.ILI.NER","Northeast Region","3","3","2","284","0.7%",""
"X.ILI.SCR","South Central Region","3","3","0","178","0.0%",""
"X.ILI.SER","Southeast Region","5","5","8","854","0.9%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","434","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","3","424","0.7%",""
"X.ILI.WTR","West Tennessee Region","6","6","1","327","0.3%","lower"
