"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","2","633","0.3%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","78","1872","4.2%","higher"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","44","1158","3.8%",""
"X.ILI.MCR","Mid-Cumberland Region","6","15","11","942","1.2%","lower"
"X.ILI.MSR","Shelby County (Memphis)","8","11","96","1096","8.8%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","10","37","759","4.9%","higher"
"X.ILI.NER","Northeast Region","3","5","0","202","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","2","141","1.4%",""
"X.ILI.SER","Southeast Region","3","5","5","471","1.1%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","365","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","4","595","0.7%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","350","0.3%","lower"
