"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","631","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","2","1773","0.1%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","47","574","8.2%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","8","1155","0.7%",""
"X.ILI.MCR","Mid-Cumberland Region","7","11","0","1020","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","12","55","870","6.3%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","6","0","769","0.0%","lower"
"X.ILI.NER","Northeast Region","4","4","0","337","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","0","253","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","433","0.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","612","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","307","0.0%","lower"
