"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","482","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","0","1038","0.0%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","15","539","2.8%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","3","1","668","0.2%","lower"
"X.ILI.MCR","Mid-Cumberland Region","7","11","0","266","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","7","12","32","639","5.0%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","6","0","222","0.0%",""
"X.ILI.NER","Northeast Region","2","4","0","124","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","197","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","124","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","436","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","215","0.0%",""
